package,package_version,layer_version_arn,time_to_live
openssl,1.1.1c,arn:aws:lambda:ap-southeast-1:113088814899:layer:pylayers-python37-defaultopenssl:2,
spacy,2.2.1,arn:aws:lambda:ap-southeast-1:113088814899:layer:pylayers-python37-defaultspacy:1,
pulp,1.6.10,arn:aws:lambda:ap-southeast-1:113088814899:layer:pylayers-python37-defaultpulp:1,
textdistance,4.1.5,arn:aws:lambda:ap-southeast-1:113088814899:layer:pylayers-python37-defaulttextdistance:1,
pyqldb,1.0.0rc2,arn:aws:lambda:ap-southeast-1:113088814899:layer:pylayers-python37-defaultpyqldb:1,
boto3,1.12.0,arn:aws:lambda:ap-southeast-1:113088814899:layer:pylayers-python37-defaultboto3:2,
idna,2.9,arn:aws:lambda:ap-southeast-1:113088814899:layer:pylayers-python37-defaultidna:5,
requests,2.23.0,arn:aws:lambda:ap-southeast-1:113088814899:layer:pylayers-python37-defaultrequests:12,06-05-2020
PyYAML,5.3.1,arn:aws:lambda:ap-southeast-1:113088814899:layer:pylayers-python37-defaultPyYAML:7,
requests,2.23.0,arn:aws:lambda:ap-southeast-1:113088814899:layer:pylayers-python37-defaultrequests:13,20-05-2020
requests,2.23.0,arn:aws:lambda:ap-southeast-1:113088814899:layer:pylayers-python37-defaultrequests:14,
